DEA Number	SMILES	INCHI FULL	INCHI PARENT	URL	Name	theLychiKey	NARC	CSA SCH	Other Names	Source	UNII	SCHED	Notes
DEA-1235	C[C@H](N)C(=O)c1ccccc1	InChIKey=PUAQLLVFLMYYJJ-ZETCQYMHSA-N	InChIKey=PUAQLLVFLMYYJJ-ZETCQYMHSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Cathinone	AFVZ3WGRH-HUKXBH13DK-HKG93SVNP8Q-HKQW8HRTGXJX	N	I	Constituent of "Khat" plant	FDA-SRS	540EI4406J	DEA SCHEDULE I	
DEA-1246	CCCC(NC)C(=O)c1ccccc1	InChIKey=WLIWIUNEJRETFX-UHFFFAOYSA-N	InChIKey=WLIWIUNEJRETFX-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Pentedrone (α-methylaminovalerophenone)	V31T5VPZS-S9YL8TNFXC-SCL45YVKVD5-SC5SURP7CRCH	N	I	2-(methylamino)-1-phenylpentan-1-one)(Positional	FDA-SRS	2ELU1B757Q	DEA SCHEDULE I	
DEA-1248	CNC(C)C(=O)c1ccc(C)cc1	InChIKey=YELGFTGWJGBAQU-UHFFFAOYSA-N	InChIKey=YELGFTGWJGBAQU-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Mephedrone (4-Methyl-N-methylcathinone)	G87TP5T6R-R2Z418RS55-R5T4P96Z3UN-R5NGZB4G63PC	N	I	(Positional Isomers: 3-Methyl-methcathinone,	FDA-SRS	8BA8T27317	DEA SCHEDULE I	Need to add isomers
DEA-1503	CC(Cc1ccccc1)NCCn1cnc2n(C)c(=O)n(C)c(=O)c12	InChIKey=NMCHYWGKBADVMK-UHFFFAOYSA-N	InChIKey=NMCHYWGKBADVMK-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Fenethylline	7L6FWZDBS-SX7ZWAXU4N-SNF78T7RLLW-SNWD9X19761U	N	I	Captagon,amfetyline,ethyltheophylline amphetamine	FDA-SRS	YZ0N7VL5R3	DEA SCHEDULE I	
DEA-1585	NC1=NCC(O1)c1ccccc1	InChIKey=SYAKTDIEAPMBAL-UHFFFAOYSA-N	InChIKey=SYAKTDIEAPMBAL-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Aminorex	ZV2SB5KXR-R1YKHDP7BZ-RZ94QQKNV91-RZ1C8H7ZX7M3	N	I	has been sold as methamphetamine	FDA-SRS	2SH16612I9	DEA SCHEDULE I	
DEA-2010	OCCCC(O)=O	InChIKey=SJZRECIVHVDYJC-UHFFFAOYSA-N	InChIKey=SJZRECIVHVDYJC-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Gamma Hydroxybutyric Acid	LP6YY9HD1-1U4N4DW588-18H48HW896H-18HB6484VTJ8	N	I	GHB, gamma hydroxybutyrate, sodium oxybate	FDA-SRS	30IW36W5B2	DEA SCHEDULE I	
DEA-2565	Cc1ccccc1-n1c(C)nc2ccccc2c1=O	InChIKey=JEYCTXHKTXCGPB-UHFFFAOYSA-N	InChIKey=JEYCTXHKTXCGPB-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Methaqualone	15HWF37NU-UUV1XFLZ2Y-UY6ZWA38WAC-UYCWHXTLJCB9	N	I	Quaalude, Parest, Somnafac, Opitimil, Mandrax	FDA-SRS	7ZKH8MQW6T	DEA SCHEDULE I	
DEA-2572	Cc1nc2ccccc2c(=O)n1-c1ccccc1Cl	InChIKey=SFITWQDBYUMAPS-UHFFFAOYSA-N	InChIKey=SFITWQDBYUMAPS-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Mecloqualone	15HWF37NU-UP362R5DTL-ULAYK2R55QB-ULB5MWLLBFWP	N	I	Nubarene	FDA-SRS	09XU4VDV7E	DEA SCHEDULE I	
DEA-6250	CCCCCn1cc(C(=O)Cc2ccccc2OC)c2ccccc12	InChIKey=FFLSJIQJQKDDCM-UHFFFAOYSA-N	InChIKey=FFLSJIQJQKDDCM-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	JWH-250 (1-Pentyl-3-(2-methoxyphenylacetyl) indole)	ZN6HN2CMW-WJD4YAVJR2-W2Q2UVQHKQV-W2VWU2WKS5XS	N	I	JWH-250	FDA-SRS	IP9911R8A0	DEA SCHEDULE I	
DEA-7118	CCCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc12	InChIKey=JDNLPKCAXICMBW-UHFFFAOYSA-N	InChIKey=JDNLPKCAXICMBW-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	JWH-018 (also known as AM678) (1-Pentyl-3-(1-naphthoyl)indole)	K6BW26Q6V-VBQG6T9NXK-VKP1DA8T94F-VKFTDZGUTJKU	N	I	JWH-018 and AM-678	FDA-SRS	G391998J57	DEA SCHEDULE I	
DEA-7200	O=C(c1cn(CCN2CCOCC2)c2ccccc12)c1cccc2ccccc12	InChIKey=SZWYXJHTNGJPKU-UHFFFAOYSA-N	InChIKey=SZWYXJHTNGJPKU-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	JWH-200 (1-[2-(4-Morpholinyl)ethyl]-3-(1-naphthoyl)indole)	LW93SD1S1-1CJSSJZCZB-1BZ9UTHY15N-1BNXAULTMA7F	N	I	JWH-200	FDA-SRS	9HN5J913P3	DEA SCHEDULE I	
DEA-7201	FCCCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc12	InChIKey=ALQFAGFPQCBPED-UHFFFAOYSA-N	InChIKey=ALQFAGFPQCBPED-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	AM-2201 (1-(5-Fluoropentyl)-3-(1-naphthoyl) indole)	GC31D9R4N-N7RVFBT9UY-NYQ595JQNMR-NYRZ7P979GT7	N	I	AM-2201	FDA-SRS	TBJ0966F1O	DEA SCHEDULE I	
DEA-7260	CC[C@H]1C[C@H]2C[C@@H]3[C@H]1N(C2)CCc1c3[nH]c2ccc(OC)cc12	InChIKey=HSIBGVUMFOSJPD-NXWOVTFFSA-N	InChIKey=HSIBGVUMFOSJPD-NXWOVTFFSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Ibogaine	S2X34Q3R9-95VGMFVP33-93QZY31J1ZL-93LDB1KHWNTZ	N	I	Constituent of "Tabernanthe iboga" plant	FDA-SRS	3S814I130U	DEA SCHEDULE I	
DEA-7315	CCN(CC)C(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34	InChIKey=VAYOSLLFUXYJDT-RDTXWAMCSA-N	InChIKey=VAYOSLLFUXYJDT-RDTXWAMCSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Lysergic acid diethylamide	MRQ4VBJ3F-FWYM7CSQ2Y-FYYBJTJ33BG-FYGMUUXA4ARR	N	I	LSD, lysergide	FDA-SRS	8NA5SWF92O	DEA SCHEDULE I	
DEA-7381	COc1cc(CCN)cc(OC)c1OC	InChIKey=RHCSKNNOAZULRK-UHFFFAOYSA-N	InChIKey=RHCSKNNOAZULRK-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Mescaline	2A5DGB58F-F4U8P6Y5W8-F8ABUL2CPCW-F8WTLY6BTXXK	N	I	Constituent of "Peyote" cacti	FDA-SRS	RHO99102VC	DEA SCHEDULE I	
DEA-7390	COc1cc(CC(C)N)cc(OC)c1OC	InChIKey=WGTASENVNYJZBK-UHFFFAOYSA-N	InChIKey=WGTASENVNYJZBK-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	3,4,5-Trimethoxyamphetamine	2VCPM3A51-1D7SA13W9R-1RHWWHCCFG8-1R8W9C9YBD4N	N	I	TMA (Positional Isomers: 2,4,5-Trimethoxyamphetamine	FDA-SRS	P2K02L3YON	DEA SCHEDULE I	Need to add isomers
DEA-7392	COc1cc(CCN)c(OC)cc1Br	InChIKey=YMHOBZXQZVXHBM-UHFFFAOYSA-N	InChIKey=YMHOBZXQZVXHBM-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	4-Bromo-2,5-dimethoxyphenethylamine	SHJJVKASY-YQD2L3HWZY-YYKH61XRW26-YY6LFDU9PT33	N	I	2C-B, Nexus, has been sold as Ecstasy, i.e. MDMA	FDA-SRS	V77772N32H	DEA SCHEDULE I	
DEA-7395	COc1cc(CC(C)N)c(OC)cc1C	InChIKey=NTJQREUGJKIARY-UHFFFAOYSA-N	InChIKey=NTJQREUGJKIARY-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	4-Methyl-2,5-dimethoxyamphetamine	9PRJXDHTC-CNPNCV5F3K-CKA56R19CHK-CKKF8J3PDNQD	N	I	DOM, STP (Positional Isomer: 2,5-Dimethoxy-3,4dimethylphenethylamine	FDA-SRS	UKI9MLD5OI	DEA SCHEDULE I	
DEA-7396	COc1ccc(OC)c(CC(C)N)c1	InChIKey=LATVFYDIBMDBSY-UHFFFAOYSA-N	InChIKey=LATVFYDIBMDBSY-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	2,5-Dimethoxyamphetamine	7C1CL167Z-ZQFDC9NVWU-ZU3YQXYZTPM-ZUMX3XGP33B3	N	I	DMA, 2,5-DMA	FDA-SRS	OIM1536TQQ	DEA SCHEDULE I	
DEA-7405	CNC(C)Cc1ccc2OCOc2c1	InChIKey=SHXWCVYOXRDMCX-UHFFFAOYSA-N	InChIKey=SHXWCVYOXRDMCX-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	3,4-Methylenedioxymethamphetamine	1X1Y46HSQ-QY3Z8RH56S-QSHUT9CKWWU-QSU2N2ZPKBBG	N	I	MDMA, Ecstasy, XTC	FDA-SRS	KE1SEN21RM	DEA SCHEDULE I	
DEA-7411	COc1ccc(CC(C)N)cc1	InChIKey=NEGYEDYHPHMHGK-UHFFFAOYSA-N	InChIKey=NEGYEDYHPHMHGK-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	4-Methoxyamphetamine	FWTMCYH21-1B8ZVWGD4W-1WGQCUKH69Y-1WYNYZSZ8S2T	N	I	PMA	FDA-SRS	OVB8F8P39Q	DEA SCHEDULE I	
DEA-7433	CN(C)CCc1c[nH]c2ccc(O)cc12	InChIKey=VTTONGPRPXSUTJ-UHFFFAOYSA-N	InChIKey=VTTONGPRPXSUTJ-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Bufotenine	VW266PU1R-R2BZS3QVN6-R6Q56C8RJ8C-R6CHYBZ99QM2	N	I	Mappine, N,N-dimethylserotonin	FDA-SRS	0A31347TZK	DEA SCHEDULE I	
DEA-7434	CCN(CC)CCc1c[nH]c2ccccc12	InChIKey=LSSUMOWDTKZHHT-UHFFFAOYSA-N	InChIKey=LSSUMOWDTKZHHT-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Diethyltryptamine	2RAL75ANH-HYYRGZMZ89-H95HNVFDMT6-H96MCJ4U4QJF	N	I	DET, N,N-Diethyltryptamine (Positional Isomer: NMethyl-	FDA-SRS	916E8V4S2V	DEA SCHEDULE I	
DEA-7435	CN(C)CCc1c[nH]c2ccccc12	InChIKey=DMULVCHRPCFFGV-UHFFFAOYSA-N	InChIKey=DMULVCHRPCFFGV-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Dimethyltryptamine	3BSUD7CWT-TRFMAF51GL-TLL3B1RT9NV-TLVAMAXP48DT	N	I	DMT	FDA-SRS	WUB601BHAA	DEA SCHEDULE I	
DEA-7437	CN(C)CCc1c[nH]c2cccc(OP(O)(O)=O)c12	InChIKey=QVDSEJDULKLHCG-UHFFFAOYSA-N	InChIKey=QVDSEJDULKLHCG-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Psilocybin	C9GDJKLXC-CUN1ARS4MP-CPCFCJYU1ZR-CPRUAYCGFSPW	N	I	Constituent of "Magic mushrooms"	FDA-SRS	2RV7212BP0	DEA SCHEDULE I	
DEA-7438	CN(C)CCc1c[nH]c2cccc(O)c12	InChIKey=SPCIYGNTAMCTRO-UHFFFAOYSA-N	InChIKey=SPCIYGNTAMCTRO-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Psilocyn	XSV6X2PDK-KAR6BK4DGZ-KZRM11KQTZK-KZK9G56W64Q9	N	I	Psilocin, constituent of "Magic mushrooms"	FDA-SRS	CMS88KUW0G	DEA SCHEDULE I	
DEA-7439	COc1ccc2[nH]cc(CCN(C(C)C)C(C)C)c2c1	InChIKey=DNBPMBJFRRVTSJ-UHFFFAOYSA-N	InChIKey=DNBPMBJFRRVTSJ-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	5-Methoxy-N,N-diisopropyltryptamine	PYL5Z6F4Y-YVHT2VDLTA-YA6RHYHFPWL-YALJNPHJD7VP	N	I	5-MeO-DIPT (Positional Isomer: 5-Methoxy-N,Ndipropyltryptamine (5-MeO-DPT))	FDA-SRS	12D06G8W8E	DEA SCHEDULE I	
DEA-7455	CCNC1(CCCCC1)c1ccccc1	InChIKey=IFYLVUHLOOCYBG-UHFFFAOYSA-N	InChIKey=IFYLVUHLOOCYBG-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	N-Ethyl-1-phenylcyclohexylamine	D4TQQDA46-6K9QYVNSCH-6HLQRHSJADS-6HS33A7U5SBY	N	I	PCE	FDA-SRS	O8I1LL6A89	DEA SCHEDULE I	
DEA-7484	CN1CCCC(C1)OC(=O)C(O)(c1ccccc1)c1ccccc1	InChIKey=ZBEILXWHVSVDBN-UHFFFAOYSA-N	InChIKey=ZBEILXWHVSVDBN-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	N-Methyl-3-piperidyl benzilate	JYPCVZ6A9-9N7KZQ7JTP-9P1VFLXW8AH-9PHBQUXVP6YR	N	I	JB 336	FDA-SRS	3A5HM769QX	DEA SCHEDULE I	
DEA-7508	COc1cc(CCN)c(OC)cc1C	InChIKey=UNQQFDCVEMVQHM-UHFFFAOYSA-N	InChIKey=UNQQFDCVEMVQHM-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	2-(2,5-Dimethoxy-4-methylphenyl) ethanamine (2C-D)	SHJJVKASY-YSVSDPY3WM-YMR11RYSR98-YM8FMSBBP3VU	N	I	2C-D	FDA-SRS	7J43GY6ONS	DEA SCHEDULE I	
DEA-7517	COc1ccc(OC)c(CCN)c1	InChIKey=WNCUVUUEJZEATP-UHFFFAOYSA-N	InChIKey=WNCUVUUEJZEATP-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	2-(2,5-Dimethoxyphenyl) ethanamine (2C-H)	7A8X4R57N-NDPUU4K6CD-NDYHFK9LB6J-NDJF465SPHHT	N	I	2C-H	FDA-SRS	9A8XF4GA0X	DEA SCHEDULE I	
DEA-7518	COc1cc(CCN)c(OC)cc1I	InChIKey=PQHQBRJAAZQXHL-UHFFFAOYSA-N	InChIKey=PQHQBRJAAZQXHL-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	2-(4-Iodo-2,5-dimethoxyphenyl) ethanamine (2C-I)	SHJJVKASY-Y7L81Q8MXQ-YQU3ASM7RRJ-YQJC4HYS4B9G	N	I	2C-I	FDA-SRS	S35362848V	DEA SCHEDULE I	
DEA-7519	COc1cc(CCN)c(OC)cc1Cl	InChIKey=CGKQFIWIPSIVAS-UHFFFAOYSA-N	InChIKey=CGKQFIWIPSIVAS-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	2-(4-Chloro-2,5-dimethoxyphenyl) ethanamine (2C-C)	SHJJVKASY-YAGF47LHAC-YCSXD296RHM-YCMA1YJK564F	N	I	2C-C	FDA-SRS	0RO7MZY2LS	DEA SCHEDULE I	
DEA-7521	COc1cc(c(OC)cc1CCN)N(=O)=O	InChIKey=ZMUSDZGRRJGRAO-UHFFFAOYSA-N	InChIKey=ZMUSDZGRRJGRAO-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	2-(2,5-Dimethoxy-4-nitro-phenyl) ethanamine (2C-N)	MXQH18MTM-MMZGRPQVWX-MXP6AX5JZ9W-MXW9P62YD12C	N	I	2C-N	FDA-SRS	BB2B23B11H	DEA SCHEDULE I	
DEA-7524	CCCc1cc(OC)c(CCN)cc1OC	InChIKey=PZJOKFZGPTVNBF-UHFFFAOYSA-N	InChIKey=PZJOKFZGPTVNBF-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	2-(2,5-Dimethoxy-4-(n)-propylphenyl) ethanamine (2C-P)	5FYJKTZ6M-MB4U9UM6BK-MKK1B9ZF8XG-MKG85Z8X2X95	N	I	2C-P	FDA-SRS	DPS1JI878J	DEA SCHEDULE I	
DEA-7535	CCCC(N1CCCC1)C(=O)c1ccc2OCOc2c1	InChIKey=SYHGEUNFJIGTRX-UHFFFAOYSA-N	InChIKey=SYHGEUNFJIGTRX-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	MDPV (3,4-Methylenedioxypyrovalerone)	DLBYXTSTH-H798HWNUDD-HDJ342L7CTW-HDWJW49S2A4U	N	I	MDPV	FDA-SRS	E7LD6JMR0L	DEA SCHEDULE I	
DEA-7540	CNC(C)C(=O)c1ccc2OCOc2c1	InChIKey=VKEQBMCRQDSRET-UHFFFAOYSA-N	InChIKey=VKEQBMCRQDSRET-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Methylone (3,4-Methylenedioxy-N-methylcathinone)	KL7FFP7KV-VKZ9KX3UZ8-V8BU3C741KA-V8AS4ZB1J6T2	N	I	Methylone	FDA-SRS	L4I4B1R01F	DEA SCHEDULE I	
DEA-9051	COc1ccc2C[C@@H]3[C@@H]4CC[C@H](OC(C)=O)[C@@H]5Oc1c2[C@]45CCN3C	InChIKey=LGGDXXJAGWBUSL-BKRJIHRRSA-N	InChIKey=LGGDXXJAGWBUSL-BKRJIHRRSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Acetyldihydrocodeine	7FM9QR6VV-VJSGJSJL5K-VKV8YN99RZ1-VK1G9UP8ZBP5	Y	I	Acetylcodone	FDA-SRS	SGY1T84P34	DEA SCHEDULE I	
DEA-9052	CN1CC[C@@]23[C@H]4Oc5c2c(C[C@@H]1[C@@H]3C=C[C@@H]4O)ccc5OCc1ccccc1	InChIKey=RDJGWRFTDZZXSM-RNWLQCGYSA-N	InChIKey=RDJGWRFTDZZXSM-RNWLQCGYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Benzylmorphine	9CN7U9VZA-A1HDYTSLJ1-A1RR65ASCCF-A1FXUXAY377V	Y	I	NA	FDA-SRS	83C78V3OL9	DEA SCHEDULE I	
DEA-9054	CO[C@@]12C=C[C@@]3(C[C@@H]1C(C)(C)O)[C@H]1Cc4ccc(O)c5O[C@@H]2[C@]3(CCN1CC1CC1)c45	InChIKey=VSKIOMHXEUHYSI-NUZWPQDXSA-N	InChIKey=VSKIOMHXEUHYSI-NUZWPQDXSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Cyprenorphine	779JR251H-HWWD2VDDA3-H3QXCU6D8H9-H39PCG9TJFYW	Y	I	NA	FDA-SRS	1P6HEG5ZHS	DEA SCHEDULE I	
DEA-9055	CN1CC[C@]23[C@@H]4CCC[C@H]2[C@H]1Cc1ccc(O)c(O4)c31	InChIKey=LNNWVNGFPYWNQE-GMIGKAJZSA-N	InChIKey=LNNWVNGFPYWNQE-GMIGKAJZSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Desomorphine	CD78S7NRF-F1H9W1VB3M-FMJPCZ1ZY4V-FMVHYP6QD36U	Y	I	NA	FDA-SRS	7OP86J5E33	DEA SCHEDULE I	
DEA-9056	CCC[C@@](C)(O)[C@H]1C[C@]23C=C[C@]1(OC)[C@@H]1Oc4c5c(C[C@H]2N(C)CC[C@@]315)ccc4O	InChIKey=CAHCBJPUTCKATP-FAWZKKEFSA-N	InChIKey=CAHCBJPUTCKATP-FAWZKKEFSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Etorphine (except HCl)	FQJ6XW268-8BJWFWFN5Z-8Z5U3M9G79N-8ZNC3238QXRG	Y	I	NA	FDA-SRS	42M2Y6NU9O	DEA SCHEDULE I	
DEA-9070	[Br-].COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CC[N+]3(C)C	InChIKey=KIKLDWULAZATJG-YZZSNFJZSA-M	InChIKey=MLIBORQWQWVNCO-LEPYJNQMSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Codeine methylbromide	SQRCQH52V-VBVFS15PHD-VDGQGKB6Q63-VD3J4UU6BW5G	Y	I	NA	FDA-SRS	25007U9T7H	DEA SCHEDULE I	
DEA-9145	CN1CC[C@@]23[C@H]4Oc5c2c(C[C@@H]1[C@@H]3CC[C@@H]4O)ccc5O	InChIKey=IJVCSMSMFSCRME-KBQPJGBKSA-N	InChIKey=IJVCSMSMFSCRME-KBQPJGBKSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Dihydromorphine	1UY7VLSWJ-JY66KAN4VL-JLHT226NMAL-JLLA89P56AKS	Y	I	NA	FDA-SRS	C3S5FRP6JW	DEA SCHEDULE I	
DEA-9168	OC(=O)C1(CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1)c1ccccc1	InChIKey=UFIVBRCCIRTJTN-UHFFFAOYSA-N	InChIKey=UFIVBRCCIRTJTN-UHFFFAOYSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Difenoxin	H2HPB24JH-HGLVP6JLXB-HBRY8A71XCT-HBTDDTHKTV53	Y	I	Lyspafen	FDA-SRS	3ZZ5BJ9F2Q	DEA SCHEDULE I	
DEA-9200	CN1CC[C@@]23[C@H]4Oc5c2c(C[C@@H]1[C@@H]3C=C[C@@H]4OC(C)=O)ccc5OC(C)=O	InChIKey=GVGLGOZIDCSQPN-PVHGPHFFSA-N	InChIKey=GVGLGOZIDCSQPN-PVHGPHFFSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Heroin	ZVH4UCS6G-GK53Z8JXHP-GPT4YTK7Z4A-GPA1FZ9VSYQ3	Y	I	Diacetylmorphine, diamorphine	FDA-SRS	70D95007SX	DEA SCHEDULE I	
DEA-9301	CN1CC[C@@]23[C@H]4Oc5c2c(C[C@@H]1[C@]3(O)CC[C@@H]4O)ccc5O	InChIKey=AABLHGPVOULICI-BRJGLHKUSA-N	InChIKey=AABLHGPVOULICI-BRJGLHKUSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Hydromorphinol	SHWX591NW-WZW74AT98V-WVCQ7GLFGJ4-WV41A3C6K284	Y	I	NA	FDA-SRS	1O00P9X5C1	DEA SCHEDULE I	
DEA-9302	CN1CC[C@@]23[C@H]4Oc5c2c(C[C@@H]1[C@@H]3CC=C4C)ccc5O	InChIKey=CUFWYVOFDYVCPM-GGNLRSJOSA-N	InChIKey=CUFWYVOFDYVCPM-GGNLRSJOSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Methyldesorphine	1UY7VLSWJ-JVDFSNK89L-JLXAZY7RYLV-JLV7SX58HGMS	Y	I	NA	FDA-SRS	Y460N7W76B	DEA SCHEDULE I	
DEA-9304	CN1CC[C@@]23[C@H]4Oc5c2c(C[C@@H]1[C@@H]3CC[C@]4(C)O)ccc5O	InChIKey=NBKVWIJQJMEQLE-NGTWOADLSA-N	InChIKey=NBKVWIJQJMEQLE-NGTWOADLSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Methyldihydromorphine	15TQ58SQU-UR8SHR6CJ5-U5WZJF3FLLG-U5G2PP11F1C4	Y	I	NA	FDA-SRS	26AY9TLO5W	DEA SCHEDULE I	
DEA-9305	[Br-].C[N+]1(C)CC[C@@]23[C@H]4Oc5c2c(C[C@@H]1[C@@H]3C=C[C@@H]4O)ccc5O	InChIKey=KQUQZJSQMSHWHP-SCLAZZCHSA-N	InChIKey=UJSDOZFJXZOOGN-XSSYPUMDSA-O	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Morphine methylbromide	7KHXG2YX2-2ARNWVZAKW-2WCNWAPU2FW-2WWLCV2ACUQG	Y	I	NA	FDA-SRS	1A51P5NGGU	DEA SCHEDULE I	
DEA-9307	CN1(=O)CC[C@@]23[C@H]4Oc5c2c(C[C@@H]1[C@@H]3C=C[C@@H]4O)ccc5O	InChIKey=AMAPEXTUMXQULJ-APQDOHRLSA-N	InChIKey=AMAPEXTUMXQULJ-APQDOHRLSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Morphine-N-oxide	7KHXG2YX2-2GKZT6NVT2-2282DJABNVX-22X7XRLUNS5G	Y	I	NA	FDA-SRS	9E77NL2Y9I	DEA SCHEDULE I	
DEA-9308	CCCCCCCCCCCCCC(=O)O[C@H]1C=C[C@H]2[C@H]3Cc4ccc(OCc5ccccc5)c5O[C@@H]1[C@]2(CCN3C)c45	InChIKey=GODGZZGKTZQSAL-VXFFQEMOSA-N	InChIKey=GODGZZGKTZQSAL-VXFFQEMOSA-N	https://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf	Myrophine	66HA7PCNL-LJKRB92PHY-LYWS7PP9JLM-LYM5CH12L2A4	Y	I	NA	FDA-SRS	417TUP54OL	DEA SCHEDULE I	
